"Ano/mes";"Internacoes";"Dias_permanencia";"Media_permanencia";"Obitos";"Taxa_mortalidade"
"..Janeiro/2000";4041;23526;5,8;220;5,44
"..Fevereiro/2000";4127;23253;5,6;218;5,28
"..Marco/2000";3950;23044;5,8;207;5,24
"..Abril/2000";4416;25835;5,9;214;4,85
"..Maio/2000";4359;25700;5,9;237;5,44
"..Junho/2000";4369;25628;5,9;255;5,84
"..Julho/2000";4260;25601;6,0;272;6,38
"..Agosto/2000";4282;24835;5,8;315;7,36
"..Setembro/2000";4360;27708;6,4;291;6,67
"..Outubro/2000";4378;27685;6,3;273;6,24
"..Novembro/2000";4320;26271;6,1;258;5,97
"..Dezembro/2000";4260;26063;6,1;242;5,68
"..Janeiro/2001";4020;23733;5,9;218;5,42
"..Fevereiro/2001";3884;22442;5,8;217;5,59
"..Marco/2001";3647;21291;5,8;176;4,83
"..Abril/2001";4015;23323;5,8;257;6,40
"..Maio/2001";4326;26641;6,2;269;6,22
"..Junho/2001";4188;24470;5,8;269;6,42
"..Julho/2001";4344;25184;5,8;296;6,81
"..Agosto/2001";4621;28283;6,1;317;6,86
"..Setembro/2001";3919;24510;6,3;232;5,92
"..Outubro/2001";3976;24020;6,0;306;7,70
"..Novembro/2001";4098;25000;6,1;242;5,91
"..Dezembro/2001";4133;24708;6,0;245;5,93
"..Janeiro/2002";4241;24676;5,8;245;5,78
"..Fevereiro/2002";4051;24074;5,9;243;6,00
"..Marco/2002";3750;21492;5,7;237;6,32
"..Abril/2002";4077;23380;5,7;249;6,11
"..Maio/2002";4123;24761;6,0;247;5,99
"..Junho/2002";4183;25257;6,0;305;7,29
"..Julho/2002";4559;27526;6,0;325;7,13
"..Agosto/2002";4766;29736;6,2;354;7,43
"..Setembro/2002";4283;26090;6,1;312;7,28
"..Outubro/2002";4097;24973;6,1;280;6,83
"..Novembro/2002";4362;26873;6,2;289;6,63
"..Dezembro/2002";4121;24589;6,0;282;6,84
"..Janeiro/2003";4240;25170;5,9;284;6,70
"..Fevereiro/2003";3987;22720;5,7;258;6,47
"..Marco/2003";3854;21837;5,7;225;5,84
"..Abril/2003";3872;22779;5,9;257;6,64
"..Maio/2003";4103;23990;5,8;282;6,87
"..Junho/2003";4136;25617;6,2;356;8,61
"..Julho/2003";4001;23807;6,0;300;7,50
"..Agosto/2003";4038;24677;6,1;333;8,25
"..Setembro/2003";4235;26713;6,3;340;8,03
"..Outubro/2003";4175;24931;6,0;343;8,22
"..Novembro/2003";4084;24552;6,0;312;7,64
"..Dezembro/2003";4395;27761;6,3;286;6,51
"..Janeiro/2004";4165;25196;6,0;278;6,67
"..Fevereiro/2004";3658;21264;5,8;251;6,86
"..Marco/2004";3981;25738;6,5;249;6,25
"..Abril/2004";3556;21274;6,0;243;6,83
"..Maio/2004";3836;23385;6,1;262;6,83
"..Junho/2004";4018;25504;6,3;344;8,56
"..Julho/2004";4092;26165;6,4;342;8,36
"..Agosto/2004";4089;25406;6,2;378;9,24
"..Setembro/2004";4032;25776;6,4;332;8,23
"..Outubro/2004";3988;25995;6,5;299;7,50
"..Novembro/2004";4094;26757;6,5;310;7,57
"..Dezembro/2004";4038;25149;6,2;248;6,14
