"date","heat_index","standard_deviation","mean_temperature","mean_humidity","mean_wind_speed","max_temperature","min_temperature","sum_heat_index","percentil_95","percentil_99","lag_heat_index_1","lag_heat_index_2","lag_heat_index_3","hospitalizations","average_stay","deaths","mortality_rate","deforestation","primary_forest_loss ","favela","urbanized_area"
"2000-12","30.07967741935484","4.615564598089791","28.94","51.32","2.0","35.4","22.2","932.47",38025,38552,"26.305666666666664","23.42774193548387","21.801111111111112",4266,"6.1",242,"5.67",6164,150,1865,14831
"2001-01","31.90774193548387","4.864888289006863","29.69","59.1","2.19","35.4","21.4","989.14","38.78","39.59","30.07967741935484","26.305666666666664","23.42774193548387",4032,"5.9",218,"5.41",6390,201,1903,14972
"2001-02","32.95964285714286","3.889431532435384","30.08","60.14","2.33","34.2","23.5","922.87",38625,38803,"31.90774193548387","30.07967741935484","26.305666666666664",3888,"5.8",217,"5.58",6390,201,1903,14972
"2001-03","32.071290322580644","3.5858078977505","29.82","56.61","2.21","34.4","25.1","994.21",37065,"37.74","32.95964285714286","31.90774193548387","30.07967741935484",3658,"5.8",176,"4.81",6390,201,1903,14972
"2001-04","25.963666666666665","3.3071057075514743","25.37","64.77","1.68","30.8","19.3","778.91",30751,"32.1117","32.071290322580644","32.95964285714286","31.90774193548387",4022,"5.8",256,"6.36",6390,201,1903,14972
"2001-05","19.17","3.650522337054429","19.17","75.87","1.64","27.3","12.9","594.27","23.4",27482,"25.963666666666665","32.071290322580644","32.95964285714286",4332,"6.2",270,"6.23",6390,201,1903,14972
"2001-06","19.826666666666664","5.83344361143708","20.0","66.37","1.83","28.9","10.7","594.8","27.5695","28.9732","19.17","25.963666666666665","32.071290322580644",4201,"5.8",270,"6.43",6390,201,1903,14972
"2001-07","18.325483870967744","4.798970610946808","18.65","67.71","1.68","30.2","11.7","568.09","25.11","28.61","19.826666666666664","19.17","25.963666666666665",4356,"5.8",295,"6.77",6390,201,1903,14972
"2001-08","24.06387096774193","4.512320672277445","24.4","52.39","1.61","30.7","17.2","745.98",29845,"30.76","18.325483870967744","19.826666666666664","19.17",4632,"6.1",319,"6.89",6390,201,1903,14972
"2001-09","21.55933333333333","4.368539512384474","21.75","57.87","2.6","28.4","15.0","646.78","28.0565","28.4204","24.06387096774193","18.325483870967744","19.826666666666664",3935,"6.3",237,"6.02",6390,201,1903,14972
"2001-10","26.381290322580647","4.024257895923571","26.25","51.61","2.47","35.3","21.8","817.82","33.760000000000005","35.94","21.55933333333333","24.06387096774193","18.325483870967744",3999,"6.0",306,"7.65",6390,201,1903,14972
