date,heat_index,standard_deviation,mean_temperature,mean_humidity,mean_wind_speed,max_temperature,min_temperature,sum_heat_index,percentil_95,percentil_99,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3,date,hospitalizations_moving_avg_3,deaths_moving_avg_3,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_6,average_stay_lag_6,deaths_lag_6,mortality_rate_lag_6,hospitalizations_lag_12,average_stay_lag_12,deaths_lag_12,mortality_rate_lag_12
2000-12,30.07967741935484,4.615564598089791,28.94,51.32,2.0,35.4,22.2,932.47,38.025,38.552,26.305666666666664,23.42774193548387,21.801111111111112,2000-12,4327.666666666667,258.3333333333333,4365.0,6.4,293.0,6.71,4370.0,5.9,255.0,5.84,4163.0,5.7,209.0,5.02
2001-01,31.90774193548387,4.864888289006863,29.69,59.1,2.19,35.4,21.4,989.14,38.78,39.59,30.07967741935484,26.305666666666664,23.42774193548387,2001-01,4209.0,239.33333333333334,4388.0,6.3,275.0,6.27,4256.0,6.0,273.0,6.41,4048.0,5.8,220.0,5.43
2001-02,32.95964285714286,3.8894315324353834,30.08,60.14,2.33,34.2,23.5,922.87,38.625,38.803,31.90774193548387,30.07967741935484,26.305666666666664,2001-02,4062.0,225.66666666666666,4329.0,6.1,258.0,5.96,4290.0,5.8,315.0,7.34,4144.0,5.6,219.0,5.28
2001-03,32.071290322580644,3.5858078977505,29.82,56.61,2.21,34.4,25.1,994.21,37.065,37.74,32.95964285714286,31.90774193548387,30.07967741935484,2001-03,3859.3333333333335,203.66666666666666,4266.0,6.1,242.0,5.67,4365.0,6.4,293.0,6.71,3953.0,5.8,209.0,5.29
2001-04,25.963666666666665,3.3071057075514743,25.37,64.77,1.68,30.8,19.3,778.91,30.751,32.1117,32.071290322580644,32.95964285714286,31.90774193548387,2001-04,3856.0,216.33333333333334,4032.0,5.9,218.0,5.41,4388.0,6.3,275.0,6.27,4420.0,5.9,215.0,4.86
2001-05,19.17,3.650522337054429,19.17,75.87,1.64,27.3,12.9,594.27,23.4,27.482,25.963666666666665,32.071290322580644,32.95964285714286,2001-05,4004.0,234.0,3888.0,5.8,217.0,5.58,4329.0,6.1,258.0,5.96,4353.0,5.9,236.0,5.42
2001-06,19.826666666666664,5.83344361143708,20.0,66.37,1.83,28.9,10.7,594.8,27.5695,28.9732,19.17,25.963666666666665,32.071290322580644,2001-06,4185.0,265.3333333333333,3658.0,5.8,176.0,4.81,4266.0,6.1,242.0,5.67,4370.0,5.9,255.0,5.84
2001-07,18.325483870967744,4.798970610946808,18.65,67.71,1.68,30.2,11.7,568.09,25.11,28.61,19.826666666666664,19.17,25.963666666666665,2001-07,4296.333333333333,278.3333333333333,4022.0,5.8,256.0,6.36,4032.0,5.9,218.0,5.41,4256.0,6.0,273.0,6.41
2001-08,24.063870967741934,4.512320672277445,24.4,52.39,1.61,30.7,17.2,745.98,29.845,30.76,18.325483870967744,19.826666666666664,19.17,2001-08,4396.333333333333,294.6666666666667,4332.0,6.2,270.0,6.23,3888.0,5.8,217.0,5.58,4290.0,5.8,315.0,7.34
2001-09,21.55933333333333,4.368539512384474,21.75,57.87,2.6,28.4,15.0,646.78,28.0565,28.4204,24.063870967741934,18.325483870967744,19.826666666666664,2001-09,4307.666666666667,283.6666666666667,4201.0,5.8,270.0,6.43,3658.0,5.8,176.0,4.81,4365.0,6.4,293.0,6.71
2001-10,26.381290322580647,4.024257895923571,26.25,51.61,2.47,35.3,21.8,817.82,33.760000000000005,35.94,21.55933333333333,24.063870967741934,18.325483870967744,2001-10,4188.666666666667,287.3333333333333,4356.0,5.8,295.0,6.77,4022.0,5.8,256.0,6.36,4388.0,6.3,275.0,6.27
2001-11,26.869,4.247820820625316,26.62,52.67,2.59,34.6,19.6,806.0699999999999,33.8265,35.4874,26.381290322580647,21.55933333333333,24.063870967741934,2001-11,4015.6666666666665,261.6666666666667,4632.0,6.1,319.0,6.89,4332.0,6.2,270.0,6.23,4329.0,6.1,258.0,5.96
2001-12,28.60967741935484,3.899265301627104,28.02,51.35,2.44,35.3,20.0,886.9,34.86,36.013,26.869,26.381290322580647,21.55933333333333,2001-12,4086.3333333333335,264.6666666666667,3935.0,6.3,237.0,6.02,4201.0,5.8,270.0,6.43,4266.0,6.1,242.0,5.67
2002-01,30.64516129032258,2.613519811758009,29.9,47.65,2.46,35.2,26.0,950.0,34.295,36.186,28.60967741935484,26.869,26.381290322580647,2002-01,4170.333333333333,244.66666666666666,3999.0,6.0,306.0,7.65,4356.0,5.8,295.0,6.77,4032.0,5.9,218.0,5.41
2002-02,30.171071428571427,2.746355617886034,29.61,46.46,2.28,35.2,25.3,844.79,35.0145,36.1765,30.64516129032258,28.60967741935484,26.869,2002-02,4151.0,244.66666666666666,4113.0,6.1,242.0,5.88,4632.0,6.1,319.0,6.89,3888.0,5.8,217.0,5.58
