"Ano/mes";"Internacoes";"Valor_Total";"Media_Permanencia";"Obitos";"Taxa_Mortalidade"
"..Janeiro/2000";771;720232,19;8,8;55;7,13
"..Fevereiro/2000";828;808704,38;7,6;56;6,76
"..Marco/2000";752;709481,40;8,1;62;8,24
"..Abril/2000";762;673337,07;7,9;42;5,51
"..Maio/2000";709;687460,47;8,7;43;6,06
"..Junho/2000";816;735854,52;7,6;48;5,88
"..Julho/2000";790;665257,04;8,1;47;5,95
"..Agosto/2000";763;655606,42;7,0;62;8,13
"..Setembro/2000";783;719163,83;8,1;56;7,15
"..Outubro/2000";872;731356,16;8,7;57;6,54
"..Novembro/2000";789;746396,54;7,9;54;6,84
"..Dezembro/2000";689;739696,79;9,1;56;8,13
"..Janeiro/2001";663;682598,43;7,5;43;6,49
"..Fevereiro/2001";700;616654,18;7,5;50;7,14
"..Marco/2001";742;666640,27;7,5;47;6,33
"..Abril/2001";632;739819,30;8,2;46;7,28
"..Maio/2001";824;826120,90;8,9;44;5,34
"..Junho/2001";602;615879,15;7,4;52;8,64
"..Julho/2001";771;743585,42;7,8;63;8,17
"..Agosto/2001";868;796446,14;9,0;61;7,03
"..Setembro/2001";608;705264,59;8,8;51;8,39
"..Outubro/2001";716;836554,39;7,9;50;6,98
"..Novembro/2001";728;712820,81;8,3;40;5,49
"..Dezembro/2001";587;623532,20;8,1;33;5,62
"..Janeiro/2002";705;772783,35;7,9;55;7,80
"..Fevereiro/2002";722;590846,55;8,5;58;8,03
"..Marco/2002";693;706974,44;7,9;42;6,06
"..Abril/2002";826;962196,00;7,4;52;6,30
"..Maio/2002";803;808565,98;7,7;66;8,22
"..Junho/2002";687;766511,13;7,9;51;7,42
"..Julho/2002";812;1086436,80;7,8;65;8,00
"..Agosto/2002";935;999614,81;7,9;75;8,02
"..Setembro/2002";757;949872,02;8,0;60;7,93
"..Outubro/2002";707;775441,70;7,6;64;9,05
"..Novembro/2002";779;895918,86;7,8;64;8,22
"..Dezembro/2002";715;854302,54;7,8;62;8,67
"..Janeiro/2003";809;1186489,55;8,0;51;6,30
"..Fevereiro/2003";753;806611,18;7,3;57;7,57
"..Marco/2003";665;695680,96;7,7;44;6,62
"..Abril/2003";664;719771,38;7,8;53;7,98
"..Maio/2003";565;1058705,27;7,0;56;9,91
"..Junho/2003";825;902801,25;7,9;92;11,15
"..Julho/2003";635;795011,92;7,9;45;7,09
"..Agosto/2003";598;927630,98;8,3;56;9,36
"..Setembro/2003";784;1019489,77;8,8;60;7,65
"..Outubro/2003";608;866775,15;7,2;48;7,89
"..Novembro/2003";725;880636,79;7,9;66;9,10
"..Dezembro/2003";1291;2159390,74;8,4;97;7,51
"..Janeiro/2004";780;1065166,71;7,8;51;6,54
"..Fevereiro/2004";681;896389,01;8,0;45;6,61
"..Marco/2004";753;909978,05;8,2;47;6,24
"..Abril/2004";657;920461,14;8,2;37;5,63
"..Maio/2004";695;882818,78;8,2;45;6,47
"..Junho/2004";723;994264,40;8,2;62;8,58
"..Julho/2004";835;1298932,33;8,2;81;9,70
"..Agosto/2004";757;1209261,84;7,9;79;10,44
"..Setembro/2004";737;1089665,01;8,3;52;7,06
"..Outubro/2004";757;823771,61;8,9;63;8,32
