"Ano/mes processamento";"Internacoes";"Media_Permanencia";"Obitos";"Taxa_Mortalidade"
"..Janeiro/2000";4048;5,8;220;5,43
"..Fevereiro/2000";4144;5,6;219;5,28
"..Marco/2000";3953;5,8;209;5,29
"..Abril/2000";4420;5,9;215;4,86
"..Maio/2000";4353;5,9;236;5,42
"..Junho/2000";4370;5,9;255;5,84
"..Julho/2000";4256;6,0;273;6,41
"..Agosto/2000";4290;5,8;315;7,34
"..Setembro/2000";4365;6,4;293;6,71
"..Outubro/2000";4388;6,3;275;6,27
"..Novembro/2000";4329;6,1;258;5,96
"..Dezembro/2000";4266;6,1;242;5,67
"..Janeiro/2001";4032;5,9;218;5,41
"..Fevereiro/2001";3888;5,8;217;5,58
"..Marco/2001";3658;5,8;176;4,81
"..Abril/2001";4022;5,8;256;6,36
"..Maio/2001";4332;6,2;270;6,23
"..Junho/2001";4201;5,8;270;6,43
"..Julho/2001";4356;5,8;295;6,77
"..Agosto/2001";4632;6,1;319;6,89
"..Setembro/2001";3935;6,3;237;6,02
"..Outubro/2001";3999;6,0;306;7,65
"..Novembro/2001";4113;6,1;242;5,88
"..Dezembro/2001";4147;6,0;246;5,93
"..Janeiro/2002";4251;5,8;246;5,79
"..Fevereiro/2002";4055;5,9;242;5,97
"..Marco/2002";3749;5,7;236;6,30
"..Abril/2002";4087;5,7;250;6,12
"..Maio/2002";4125;6,0;248;6,01
"..Junho/2002";4193;6,0;306;7,30
"..Julho/2002";4558;6,0;325;7,13
"..Agosto/2002";4768;6,2;354;7,42
"..Setembro/2002";4291;6,1;315;7,34
"..Outubro/2002";4098;6,1;281;6,86
"..Novembro/2002";4366;6,2;288;6,60
"..Dezembro/2002";4126;6,0;284;6,88
"..Janeiro/2003";4246;5,9;284;6,69
"..Fevereiro/2003";3983;5,7;259;6,50
"..Marco/2003";3848;5,7;226;5,87
"..Abril/2003";3878;5,9;258;6,65
"..Maio/2003";4126;5,8;284;6,88
"..Junho/2003";4142;6,2;356;8,59
"..Julho/2003";3997;6,0;301;7,53
"..Agosto/2003";4041;6,1;332;8,22
"..Setembro/2003";4242;6,3;340;8,02
"..Outubro/2003";4172;6,0;342;8,20
"..Novembro/2003";4081;6,0;309;7,57
"..Dezembro/2003";4404;6,3;288;6,54
"..Janeiro/2004";4170;6,0;275;6,59
"..Fevereiro/2004";3660;5,8;251;6,86
"..Marco/2004";3985;6,5;250;6,27
"..Abril/2004";3554;6,0;242;6,81
"..Maio/2004";3840;6,1;263;6,85
"..Junho/2004";4020;6,3;343;8,53
"..Julho/2004";4093;6,4;344;8,40
"..Agosto/2004";4098;6,2;379;9,25
"..Setembro/2004";4040;6,4;333;8,24
"..Outubro/2004";3986;6,5;298;7,48
"..Novembro/2004";4087;6,5;309;7,56
"..Dezembro/2004";4044;6,2;248;6,13
"..Janeiro/2005";3898;6,0;249;6,39
"..Fevereiro/2005";3692;5,8;239;6,47
"..Marco/2005";3543;6,2;242;6,83
"..Abril/2005";3959;5,9;263;6,64
"..Maio/2005";3842;6,0;280;7,29
"..Junho/2005";3997;6,3;260;6,50
"..Julho/2005";4085;6,2;309;7,56
"..Agosto/2005";4261;6,4;382;8,97
"..Setembro/2005";3548;6,4;314;8,85
"..Outubro/2005";3523;6,5;305;8,66
"..Novembro/2005";3367;6,2;241;7,16
"..Dezembro/2005";3661;6,0;299;8,17
"..Janeiro/2006";3537;5,7;276;7,80
"..Fevereiro/2006";3353;6,0;241;7,19
"..Marco/2006";3589;5,6;254;7,08
"..Abril/2006";3594;5,8;257;7,15
"..Maio/2006";3969;5,9;279;7,03
"..Junho/2006";3917;6,2;324;8,27
"..Julho/2006";3883;6,2;307;7,91
"..Agosto/2006";3878;6,3;325;8,38
"..Setembro/2006";3991;6,4;377;9,45
"..Outubro/2006";3626;6,3;333;9,18
"..Novembro/2006";3978;6,3;298;7,49
"..Dezembro/2006";3453;6,4;259;7,50
"..Janeiro/2007";3465;5,7;245;7,07
"..Fevereiro/2007";3363;5,7;252;7,49
