"Classe","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Supressão de Vegetação Primária","","357","495","840","337","454","277","629","379","406","227","314","272","510","150","201","117","576","136","88","69","74","92","101","86","91","112","83","31","34","46","28","39","50","31","53","28","12"
"1.1. Floresta","","58","98","98","84","105","41","168","70","96","76","79","98","187","59","71","40","61","43","42","29","34","38","34","28","38","66","55","8","11","17","10","16","21","15","19","7","10"
"1.1.1. Formação Florestal","","47","92","83","74","87","30","137","55","79","66","68","86","164","49","68","37","52","40","36","27","34","36","31","26","35","51","51","7","10","16","8","15","21","13","16","7","10"
"1.1.2. Formação Savânica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.5. Restinga Arbórea","","11","5","14","9","18","10","30","15","17","10","11","11","23","10","3","3","9","3","6","2","","2","2","2","2","14","4","","","","2","1","","2","3","",""
"1.2. Formação Natural não Florestal","","298","396","741","253","348","236","461","309","309","150","234","173","322","90","130","77","515","92","46","40","40","53","66","58","52","46","27","23","22","28","17","23","28","16","34","20","2"
"1.2.1. Campo Alagado e Área Pantanosa","","14","17","64","22","21","7","18","25","21","15","16","34","16","10","7","1","2","6","3","1","4","","1","16","2","3","2","1","2","","1","","","1","","",""
"1.2.2. Formação Campestre","","284","377","676","231","326","228","442","283","288","134","217","138","305","80","122","75","513","85","43","38","35","52","65","41","50","42","25","22","20","28","15","23","28","14","33","20","2"
"1.2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.5. Restinga Herbácea","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Supressão de Vegetação Secundária","","","","1","20","36","43","55","99","101","94","124","56","153","82","94","64","474","79","84","42","130","48","62","85","135","113","82","61","97","57","35","67","89","79","49","26","30"
"2.1. Floresta","","","","","2","6","1","7","7","9","9","14","10","22","8","17","7","14","6","14","4","5","10","8","10","17","17","12","5","3","6","3","5","8","10","11","6",""
"2.1.1. Formação Florestal","","","","","1","5","1","6","3","6","7","11","9","18","7","15","5","11","4","7","3","5","8","7","9","13","15","12","4","2","5","2","5","7","8","9","6",""
"2.1.2. Formação Savânica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.1.5. Restinga Arbórea","","","","","","","","1","4","2","1","2","1","4","","1","1","3","1","6","","","2","1","","4","2","","","","","","","1","1","1","",""
"2.2. Formação Natural não Florestal","","","","1","18","30","41","47","91","92","85","109","46","131","74","77","56","459","73","69","38","124","37","54","74","117","95","69","55","94","50","32","61","80","68","38","19","29"
"2.2.1. Campo Alagado e Área Pantanosa","","","","","4","2","1","4","4","3","6","9","7","4","14","8","1","3","4","5","1","8","4","2","15","10","6","8","4","6","3","3","4","4","5","1","2",""
"2.2.2. Formação Campestre","","","","1","14","27","40","43","86","87","78","100","38","126","60","68","55","455","68","63","36","116","33","51","59","106","89","60","50","87","47","28","57","75","62","36","17","28"
"2.2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
